p_val	avg_diff	pct.1	pct.2	p_val_adj	cluster	gene
RNASET21	1.92364563299377e-36	0.486948215049773	0.434	0.299	4.3532100674649e-32	3	RNASET2
CUTA1	2.24793908235513e-36	0.801090386359412	0.572	0.386	5.08708614336966e-32	3	CUTA
HSP90AB1	3.99244097168691e-36	3.6944799178112	0.731	0.567	9.03489391892747e-32	3	HSP90AB1
RPS181	2.255464334581e-35	44.0888756819879	0.967	0.982	5.10411578915681e-31	3	RPS18
RPL9	6.16396522174732e-34	11.3898025791155	0.883	0.892	1.39490532968142e-29	3	RPL9
ACTR3	1.45322986638099e-32	0.459939085720868	0.442	0.304	3.28865918762019e-28	3	ACTR3
EEF1B21	3.1622904042769e-32	4.09030358445423	0.751	0.602	7.15626318487862e-28	3	EEF1B2
RAP1B1	4.01089889004666e-32	0.313358533193923	0.375	0.265	9.07666418817559e-28	3	RAP1B
OST41	1.35614980107241e-29	2.8078305299024	0.76	0.567	3.06896699982686e-25	3	OST4
FOS1	2.31568061432934e-29	3.90706701184644	0.743	0.614	5.24038523022731e-25	3	FOS
JUND1	6.20490768269139e-29	0.98121718906252	0.565	0.404	1.40417060859306e-24	3	JUND
RPS7	1.53533472975141e-26	11.6591976501301	0.86	0.857	3.47446249342744e-22	3	RPS7
CLK11	4.0450741587349e-26	0.0625714695588422	0.279	0.259	9.15400282121707e-22	3	CLK1
SRSF51	4.70542156435043e-26	0.244981551878105	0.402	0.339	1.0648369000125e-21	3	SRSF5
KMT2E1	1.02651817370001e-24	0.0522988662980746	0.254	0.238	2.32301062708313e-20	3	KMT2E
NEAT11	8.11294889266936e-24	5.45152722078661	0.721	0.584	1.83596033441108e-19	3	NEAT1
RPS111	7.9737764410866e-23	9.82537168740064	0.878	0.854	1.8044656086179e-18	3	RPS11
GADD45B1	1.4105952036371e-22	0.216471088829556	0.331	0.25	3.19217694583076e-18	3	GADD45B
RPL14	3.02077055858349e-22	10.2496664274116	0.882	0.851	6.83600377407444e-18	3	RPL14
PABPC1	5.95940125708862e-21	3.3163277108093	0.747	0.585	1.34861250447916e-16	3	PABPC1
RPS281	2.34402210708478e-20	27.4356270656079	0.939	0.974	5.30452202833286e-16	3	RPS28
RPL241	3.60291054245954e-20	7.61484726258234	0.865	0.815	8.15338655758595e-16	3	RPL24
ISCU1	6.649424716702e-20	0.18412650610622	0.338	0.246	1.50476481338966e-15	3	ISCU
NR4A12	1.52797493047869e-19	0.0996800370885406	0.266	0.248	3.45780726767327e-15	3	NR4A1
RPL411	4.54791082514349e-17	56.3075772468742	0.984	0.993	1.02919221972997e-12	3	RPL41
SON	1.08667647014913e-16	0.616972130256332	0.515	0.405	2.45914885194748e-12	3	SON
RPL10A	9.12594511882345e-15	13.3943475717961	0.869	0.882	2.06520138038975e-10	3	RPL10A
TOMM7	4.04298192576494e-14	2.64161863621881	0.743	0.57	9.14926809800607e-10	3	TOMM7
RPS141	9.94097883448861e-14	28.7507454574791	0.943	0.973	2.24964351024477e-09	3	RPS14
PAIP21	1.23277682491485e-13	0.0766160164738712	0.264	0.239	2.7897739547823e-09	3	PAIP2
RPS16	5.95253078580836e-13	14.0649666792843	0.906	0.91	1.34705771682843e-08	3	RPS16
RPL35A1	2.07900337907983e-12	14.8881329910897	0.917	0.941	4.70478464685766e-08	3	RPL35A
SRSF71	2.12379563541459e-12	0.645580711050122	0.478	0.342	4.80614952294322e-08	3	SRSF7
PTMA	3.8268017632687e-12	26.546619167484	0.941	0.964	8.66005239027706e-08	3	PTMA
RPL11	2.3281196349716e-11	19.1984460662929	0.936	0.954	5.26853473394074e-07	3	RPL11
UBA52	4.45908213865261e-11	8.15748404544448	0.873	0.853	1.00909028797708e-06	3	UBA52
HLA-DPB11	5.49871601318512e-11	0.503070397288487	0.471	0.361	1.24435943378379e-06	3	HLA-DPB1
HSPA1A1	3.1140083513017e-10	0.935425900403232	0.574	0.405	7.04700089899574e-06	3	HSPA1A
TXNIP1	2.81222355491599e-09	0.0246527366788312	0.325	0.276	6.3640619047749e-05	3	TXNIP
CCNI	2.94320178041826e-09	0.812630985745743	0.58	0.438	6.66046562908651e-05	3	CCNI
RSL24D11	8.0633111851298e-09	0.547976584833314	0.495	0.359	0.000182472732119487	3	RSL24D1
RPL61	1.23158798421461e-08	10.5882328286099	0.855	0.846	0.000278708360827765	3	RPL6
HNRNPA1	1.3927684044717e-07	4.17098690777749	0.747	0.626	0.00315183489931945	3	HNRNPA1
GLTSCR21	4.26534415731028e-07	1.14640791298715	0.592	0.43	0.00965247382799315	3	GLTSCR2
ATP6V0E11	2.21019139016265e-06	1.17574716401347	0.63	0.45	0.0500166311593809	3	ATP6V0E1
RPL181	2.25740979372914e-06	13.9498507422211	0.897	0.903	0.0510851836320903	3	RPL18
SELT1	2.62767216739876e-06	0.306352271037366	0.457	0.359	0.059464221148234	3	SELT
FTL1	4.87441250119081e-06	11.2879947702457	0.929	0.884	0.110307954901948	3	FTL
RPS6	9.71217184023101e-06	27.9138419326272	0.943	0.963	0.219786448744428	3	RPS6
HSPA1B1	5.15778609017515e-05	0.106786613241222	0.473	0.365	1	3	HSPA1B
UBE2D3	6.81561929640729e-05	0.94203847242258	0.596	0.431	1	3	UBE2D3
SEC621	8.98051341804017e-05	0.911252816701239	0.63	0.47	1	3	SEC62
EEF21	0.00011020697705414	3.26797442786846	0.766	0.61	1	3	EEF2
CKLF1	0.000334354993198801	0.235186200570547	0.299	0.234	1	3	CKLF
RPL18A1	0.000374060539503883	24.1192622056099	0.952	0.962	1	3	RPL18A
RPS20	0.000441196110875599	11.0728710500486	0.876	0.872	1	3	RPS20
RPL5	0.000907972278432415	8.2717124968019	0.833	0.796	1	3	RPL5
EIF3E	0.00451967818271197	2.19923344751533	0.694	0.555	1	3	EIF3E
DDX241	0.00534963025965335	0.156521132267227	0.295	0.233	1	3	DDX24
FTH11	0	44.0817839109814	0.983	0.892	0	4	FTH1
IL8	0	23.4111951232687	0.72	0.06	0	4	IL8
FTL2	0	20.5026634485962	0.984	0.884	0	4	FTL
HLA-DRA1	0	18.9633057555486	0.908	0.485	0	4	HLA-DRA
TMSB4X2	0	14.30881436086	0.972	0.976	0	4	TMSB4X
ACTB1	0	12.4033391758384	0.98	0.92	0	4	ACTB
TIMP11	0	11.1889599607087	0.759	0.329	0	4	TIMP1
CCL3	0	9.30555147446972	0.621	0.089	0	4	CCL3
SRGN2	0	7.4029341229217	0.864	0.561	0	4	SRGN
SAT12	0	7.07463157137555	0.881	0.565	0	4	SAT1
HLA-DRB12	0	6.74194553696605	0.715	0.423	0	4	HLA-DRB1
SPP1	0	6.66861160330006	0.305	0.012	0	4	SPP1
HLA-DPB12	0	5.85331051372046	0.579	0.363	0	4	HLA-DPB1
SOD21	0	5.18277724889835	0.718	0.138	0	4	SOD2
TMSB101	0	5.16774775561994	0.956	0.889	0	4	TMSB10
TYROBP	0	4.76459121524547	0.826	0.043	0	4	TYROBP
HLA-DPA12	0	4.76164324505829	0.543	0.376	0	4	HLA-DPA1
C15orf481	0	4.68396872450639	0.629	0.077	0	4	C15orf48
LGALS11	0	4.5397176161692	0.862	0.407	0	4	LGALS1
FCER1G	0	4.44034955657811	0.797	0.038	0	4	FCER1G
CST31	0	4.37099480013591	0.585	0.253	0	4	CST3
HBB	0	3.85257930939929	0.442	0.169	0	4	HBB
S100A9	0	3.70379613426345	0.528	0.011	0	4	S100A9
CCL20	0	3.70323144652511	0.301	0.085	0	4	CCL20
GPR1831	0	3.26280329295525	0.504	0.316	0	4	GPR183
CXCL31	0	3.02250150989046	0.397	0.084	0	4	CXCL3
CXCL21	0	2.95421344646503	0.47	0.065	0	4	CXCL2
IL1B	0	2.90942488720486	0.481	0.01	0	4	IL1B
HBA2	0	2.90155807787785	0.338	0.099	0	4	HBA2
G0S2	0	2.77283211457243	0.409	0.032	0	4	G0S2
AIF1	0	2.53961020727019	0.601	0.015	0	4	AIF1
S100A8	0	2.48087624748516	0.42	0.006	0	4	S100A8
HLA-DQB11	0	2.43504374475469	0.55	0.29	0	4	HLA-DQB1
CCL41	0	2.42815306299817	0.435	0.128	0	4	CCL4
HLA-DQA11	0	2.37041320550308	0.456	0.238	0	4	HLA-DQA1
GPX11	0	2.10111154727431	0.618	0.359	0	4	GPX1
HSPA1A2	0	1.85875662465344	0.619	0.415	0	4	HSPA1A
BCL2A1	0	1.79018712624549	0.587	0.109	0	4	BCL2A1
VIM1	0	1.7655587788465	0.696	0.382	0	4	VIM
SH3BGRL31	0	1.74617295177013	0.782	0.58	0	4	SH3BGRL3
NPC22	0	1.73696366677054	0.579	0.375	0	4	NPC2
PSAP2	0	1.73401199225252	0.537	0.35	0	4	PSAP
IL1RN	0	1.66064646659468	0.445	0.03	0	4	IL1RN
NEAT12	0	1.51815445728773	0.726	0.594	0	4	NEAT1
IER31	0	1.47118507492237	0.519	0.123	0	4	IER3
S100A111	0	1.441429106234	0.794	0.35	0	4	S100A11
S100A41	0	1.36998676403259	0.574	0.331	0	4	S100A4
NFKBIA1	0	1.36930129454055	0.62	0.436	0	4	NFKBIA
PFN11	0	1.29819896743718	0.842	0.749	0	4	PFN1
CTSB1	0	1.29107043451779	0.465	0.112	0	4	CTSB
CCL3L1	0	1.27510174879235	0.313	0.016	0	4	CCL3L1
NAMPT	0	1.27350256439531	0.558	0.08	0	4	NAMPT
CCL3L3	0	1.24645187445905	0.301	0.013	0	4	CCL3L3
CD14	0	1.16895206983629	0.367	0.008	0	4	CD14
PLAUR	0	1.16890712368837	0.467	0.052	0	4	PLAUR
LST1	0	1.14506606112083	0.432	0.024	0	4	LST1
CD441	0	1.13231819121891	0.594	0.35	0	4	CD44
MS4A6A	0	1.10697640519429	0.3	0.003	0	4	MS4A6A
CTSS2	0	1.06416906858163	0.456	0.247	0	4	CTSS
SDCBP1	0	1.0152905854944	0.628	0.296	0	4	SDCBP
TYMP1	0	0.995010451348397	0.497	0.193	0	4	TYMP
INSIG1	0	0.970628885040507	0.291	0.096	0	4	INSIG1
PTGS2	0	0.88452894380801	0.341	0.012	0	4	PTGS2
SERPINB9	0	0.865803142072048	0.429	0.093	0	4	SERPINB9
CSTB1	0	0.826916450649819	0.529	0.26	0	4	CSTB
EREG	0	0.820196238899344	0.291	0.003	0	4	EREG
ANXA12	0	0.811523193686178	0.472	0.154	0	4	ANXA1
CD68	0	0.810326238713706	0.363	0.033	0	4	CD68
CTSL	0	0.798238141720774	0.326	0.035	0	4	CTSL
SGK1	0	0.777380042478277	0.325	0.078	0	4	SGK1
COTL12	0	0.753943737656296	0.386	0.196	0	4	COTL1
LITAF1	0	0.747531910946957	0.4	0.176	0	4	LITAF
ANXA51	0	0.74497262169616	0.519	0.198	0	4	ANXA5
GRN1	0	0.694624940362911	0.315	0.178	0	4	GRN
PLIN2	0	0.682197986918772	0.318	0.075	0	4	PLIN2
CEBPB	0	0.615470594068872	0.342	0.084	0	4	CEBPB
CHMP1B1	0	0.594910669751389	0.326	0.169	0	4	CHMP1B
ARPC51	0	0.57402818950755	0.508	0.273	0	4	ARPC5
MS4A7	0	0.553440358162619	0.295	0.009	0	4	MS4A7
PLEK	0	0.54882297422057	0.313	0.041	0	4	PLEK
WTAP1	0	0.539870444024173	0.36	0.155	0	4	WTAP
NINJ1	0	0.526305021562164	0.352	0.065	0	4	NINJ1
ITGB2	0	0.522740726720632	0.259	0.075	0	4	ITGB2
CAPG1	0	0.520021474754462	0.314	0.156	0	4	CAPG
EMP31	0	0.512881794116556	0.528	0.357	0	4	EMP3
SPI1	0	0.507135705844841	0.292	0.031	0	4	SPI1
LCP1	0	0.492836506665339	0.37	0.091	0	4	LCP1
CDC421	0	0.489838778105979	0.587	0.421	0	4	CDC42
H3F3A1	0	0.479346225956624	0.795	0.723	0	4	H3F3A
OAZ12	0	0.468435252710552	0.758	0.709	0	4	OAZ1
KYNU	0	0.465819350706521	0.292	0.029	0	4	KYNU
CFL11	0	0.458409758780507	0.736	0.674	0	4	CFL1
ATP6V1F1	0	0.454876869612402	0.426	0.263	0	4	ATP6V1F
PLSCR11	0	0.453327486995064	0.343	0.088	0	4	PLSCR1
ASAH12	0	0.450555919619977	0.338	0.184	0	4	ASAH1
MARCKS1	0	0.44161378852936	0.367	0.156	0	4	MARCKS
VCAN	0	0.435015784970416	0.255	0.018	0	4	VCAN
SAMSN11	0	0.434522735664736	0.365	0.156	0	4	SAMSN1
ENO11	0	0.428747667198158	0.532	0.311	0	4	ENO1
GLUL1	0	0.426994215819961	0.371	0.126	0	4	GLUL
CTSZ1	0	0.424156248965774	0.257	0.103	0	4	CTSZ
CARD16	0	0.419001308319966	0.359	0.129	0	4	CARD16
FAM49B	0	0.413255780339141	0.357	0.184	0	4	FAM49B
EIF4A11	0	0.411904771416255	0.63	0.532	0	4	EIF4A1
AP2S11	0	0.408598030744071	0.419	0.214	0	4	AP2S1
GSTO11	0	0.40181196845265	0.424	0.187	0	4	GSTO1
RGS10	0	0.39968316758867	0.289	0.116	0	4	RGS10
GAPDH1	0	0.397713329731524	0.842	0.712	0	4	GAPDH
HIF1A	0	0.39196134939005	0.355	0.129	0	4	HIF1A
ATP1B31	0	0.387218845613699	0.345	0.152	0	4	ATP1B3
GK	0	0.382651624735465	0.264	0.021	0	4	GK
TPI11	0	0.3771957170595	0.613	0.412	0	4	TPI1
SERPINA11	0	0.374436464063464	0.395	0.064	0	4	SERPINA1
ZEB2	0	0.373179435756835	0.295	0.042	0	4	ZEB2
PTPRE	0	0.357472889370291	0.257	0.032	0	4	PTPRE
PKM1	0	0.354001811840501	0.485	0.289	0	4	PKM
UBE2D1	0	0.34329006307624	0.299	0.081	0	4	UBE2D1
HCST1	0	0.338562377291036	0.359	0.179	0	4	HCST
ATP13A3	0	0.329619597758875	0.265	0.042	0	4	ATP13A3
PGK11	0	0.326776526180531	0.433	0.28	0	4	PGK1
LDHA1	0	0.316709738344381	0.486	0.335	0	4	LDHA
AP1S2	0	0.303169452842341	0.253	0.093	0	4	AP1S2
BNIP3L	0	0.302266864286005	0.267	0.092	0	4	BNIP3L
ATP2B1	0	0.293169910597995	0.287	0.116	0	4	ATP2B1
ETS2	0	0.290994746497575	0.27	0.052	0	4	ETS2
LIMS1	0	0.282283450579244	0.258	0.098	0	4	LIMS1
H2AFY1	0	0.272712633040855	0.304	0.159	0	4	H2AFY
S100A101	0	0.268379354645413	0.609	0.297	0	4	S100A10
RTN41	0	0.267565898419438	0.363	0.191	0	4	RTN4
BZW11	0	0.266231545295245	0.352	0.203	0	4	BZW1
POMP1	0	0.24226578294462	0.576	0.431	0	4	POMP
RAC11	0	0.185055879159495	0.484	0.272	0	4	RAC1
MYL61	0	0.106460028688256	0.787	0.688	0	4	MYL6
UBA521	0	0.0608473810313548	0.852	0.856	0	4	UBA52
RHOG	3.51833387967757e-306	0.296267969959641	0.288	0.147	7.96198956971035e-302	4	RHOG
CD742	2.04270769639935e-292	13.0370074190114	0.79	0.754	4.62264751695173e-288	4	CD74
DNAJB61	6.26459646805826e-290	0.329844445364862	0.383	0.237	1.41767818072158e-285	4	DNAJB6
HSPA1B2	3.84940724858822e-283	0.990569577067714	0.489	0.372	8.71120860355514e-279	4	HSPA1B
HLA-DRB52	2.76724631732653e-281	2.08557547089381	0.359	0.231	6.26227841610994e-277	4	HLA-DRB5
CD831	1.43686500711286e-279	0.601338618013041	0.398	0.214	3.25162551109641e-275	4	CD83
ALDOA1	8.48164325615351e-276	0.0396286374346735	0.554	0.443	1.91939586886754e-271	4	ALDOA
ATP5E1	9.94956216177775e-270	0.0581617344980798	0.773	0.761	2.2515859172103e-265	4	ATP5E
TNFAIP31	3.5316817502645e-264	0.294051783083153	0.297	0.164	7.99219580084856e-260	4	TNFAIP3
ACTR21	1.10759097261132e-260	0.208856741690392	0.303	0.174	2.50647837101942e-256	4	ACTR2
ATP6V0B2	1.2062182267391e-251	0.232394055807561	0.422	0.307	2.72967184711059e-247	4	ATP6V0B
PCBP11	1.90949172631561e-251	0.218352830180814	0.443	0.319	4.32117977665223e-247	4	PCBP1
PNRC11	4.17244167117716e-245	0.434011403112329	0.484	0.357	9.44223550187391e-241	4	PNRC1
CTSC1	1.74309693758201e-244	0.433977606018546	0.282	0.162	3.94462836974808e-240	4	CTSC
FKBP1A1	2.12513453218552e-243	0.183676561856569	0.436	0.305	4.80917944633583e-239	4	FKBP1A
NOP101	1.68030726983908e-242	0.146942658292958	0.446	0.327	3.80253535164585e-238	4	NOP10
SLC2A31	1.24535723501541e-236	0.316154863376419	0.324	0.187	2.81824342283988e-232	4	SLC2A3
FCGRT1	3.72063218765389e-234	0.316386086545138	0.269	0.162	8.41979064066074e-230	4	FCGRT
ZFAND51	1.48213160615749e-220	0.191684297364831	0.259	0.149	3.35406382473441e-216	4	ZFAND5
GPX42	2.35934340086305e-213	0.387231451824834	0.458	0.359	5.33919411615309e-209	4	GPX4
PPP1CB1	9.76975309068884e-208	0.230310984430253	0.381	0.263	2.21089512442288e-203	4	PPP1CB
MOB1A1	3.64811115109864e-206	0.218328220789145	0.311	0.194	8.25567553493622e-202	4	MOB1A
NFE2L21	1.00445864219081e-199	0.189868687088173	0.277	0.169	2.2730899072778e-195	4	NFE2L2
SERPINB11	8.14056566975225e-192	0.0824108871729706	0.295	0.185	1.84221001106493e-187	4	SERPINB1
ALOX5AP1	8.78982145281805e-188	0.460873890737397	0.254	0.144	1.98913659477272e-183	4	ALOX5AP
ATP6AP21	2.35378816587567e-186	0.240323297834304	0.291	0.188	5.32662261937665e-182	4	ATP6AP2
CFLAR1	2.31308762443687e-181	0.19566036661031	0.302	0.2	5.23451729410063e-177	4	CFLAR
HLA-DQA21	2.24370185245983e-175	0.738389428114667	0.265	0.164	5.0774972921166e-171	4	HLA-DQA2
TNFAIP8	1.58133169842065e-171	0.224872708888241	0.28	0.175	3.57855363352593e-167	4	TNFAIP8
LY961	1.49137792535765e-165	0.146833642647963	0.291	0.189	3.37498824508435e-161	4	LY96
TMEM50A1	8.15405445107443e-165	0.160325363818479	0.373	0.276	1.84526252227814e-160	4	TMEM50A
CAPZA21	5.75030401083783e-160	0.160256580932718	0.348	0.249	1.3012937976526e-155	4	CAPZA2
CTSH1	1.4626365710713e-153	0.265134768864842	0.269	0.18	3.30994656033436e-149	4	CTSH
LAPTM52	5.13565668277266e-149	0.563578818489636	0.464	0.31	1.16219910731145e-144	4	LAPTM5
PFDN52	4.23994249001044e-147	0.164352994517672	0.763	0.777	9.59498985489363e-143	4	PFDN5
RHOA1	3.46489465877485e-146	0.209161717571819	0.471	0.391	7.84105661280748e-142	4	RHOA
HLA-DMA2	4.34894863925076e-145	0.734329820098422	0.364	0.278	9.84167077062446e-141	4	HLA-DMA
ACTR31	5.74020987507476e-144	0.27704803706908	0.414	0.316	1.29900949472942e-139	4	ACTR3
GADD45B2	1.01966755713379e-142	0.315187229655555	0.357	0.255	2.30750768179376e-138	4	GADD45B
TPM31	1.11825929194185e-136	0.224945499289657	0.374	0.275	2.53062077766441e-132	4	TPM3
YBX11	1.48733882178285e-131	0.0104665076383481	0.508	0.443	3.36584775369459e-127	4	YBX1
MT2A1	3.61471073527918e-118	0.145235789192218	0.408	0.332	8.18009039393678e-114	4	MT2A
ID22	9.5604064030426e-118	0.449794474282483	0.302	0.21	2.16351996900854e-113	4	ID2
VAMP81	3.88341156468082e-110	0.415811192296838	0.364	0.3	8.78816037087271e-106	4	VAMP8
ARPC31	6.25399119962155e-108	0.346073609590774	0.515	0.474	1.41527820847436e-103	4	ARPC3
CTSD1	2.32438250132779e-102	0.95802336842548	0.281	0.22	5.2600776005048e-98	4	CTSD
ARPC41	7.71146763936354e-102	0.156848747489348	0.265	0.184	1.74510512678797e-97	4	ARPC4
ARPC2	8.03439745813061e-97	0.349129691210949	0.529	0.493	1.81818414477496e-92	4	ARPC2
CD532	1.24251513661839e-90	0.269826437094747	0.348	0.253	2.81181175416741e-86	4	CD53
ARPC1B2	1.57851314400493e-88	0.372318641294777	0.362	0.287	3.57217524488316e-84	4	ARPC1B
UBE2D31	3.25554726842098e-86	0.160474807890445	0.497	0.448	7.36730346843668e-82	4	UBE2D3
YWHAZ1	7.01787917202386e-82	0.00792142600220913	0.48	0.42	1.588146056629e-77	4	YWHAZ
CMTM62	8.81782637095868e-82	0.199437184661659	0.323	0.245	1.99547410774795e-77	4	CMTM6
RAB7A1	1.64531956602665e-81	0.124445783657652	0.289	0.221	3.72335817791832e-77	4	RAB7A
MYL12A1	1.43164348250237e-78	0.219640522894018	0.577	0.541	3.23980920090287e-74	4	MYL12A
DAZAP21	2.78240670007568e-76	0.0896084393821412	0.37	0.301	6.29658636227126e-72	4	DAZAP2
RGS21	2.10079834976402e-71	0.59325276499915	0.321	0.247	4.75410666551598e-67	4	RGS2
LRRFIP11	4.16466924072749e-71	0.100813249472626	0.274	0.203	9.4246464917663e-67	4	LRRFIP1
CAPZA11	3.10026658983817e-70	0.0993788219844089	0.311	0.246	7.01590329280378e-66	4	CAPZA1
CXCR42	1.65937898989262e-69	0.0302594431443401	0.336	0.391	3.755174654127e-65	4	CXCR4
VAPA1	3.62445894330207e-65	0.027394178971386	0.387	0.336	8.20215058869258e-61	4	VAPA
GNG51	6.34432099805987e-61	0.0204433176992408	0.323	0.27	1.43571984186095e-56	4	GNG5
TPM41	7.71568013132136e-61	0.0704588921164805	0.275	0.215	1.74605841371802e-56	4	TPM4
REL1	6.46800997953998e-60	0.260824061711131	0.266	0.188	1.4637106583699e-55	4	REL
VMP11	1.53911116788564e-51	0.0627091682260283	0.258	0.207	3.4830085729252e-47	4	VMP1
ITM2B1	5.41348704166705e-51	0.310595253135705	0.54	0.526	1.22507211752925e-46	4	ITM2B
ZFAS11	6.22282546281058e-51	0.0796788433450484	0.407	0.346	1.40822540223403e-46	4	ZFAS1
HNRNPC1	2.60914852680246e-49	0.0143738060186094	0.442	0.404	5.90450311615396e-45	4	HNRNPC
RAP1B2	4.63239096636282e-49	0.0841000373247227	0.327	0.276	1.04831007568791e-44	4	RAP1B
ATOX12	2.49600192831444e-45	0.129077017269286	0.281	0.243	5.64845236377558e-41	4	ATOX1
TCEB11	1.51833441948269e-41	0.0123155223377006	0.254	0.212	3.43599079128932e-37	4	TCEB1
TUBA1B1	5.26346287860876e-41	0.168670894631077	0.396	0.363	1.19112164942916e-36	4	TUBA1B
GMFG2	1.47398432956343e-39	0.163168447417367	0.356	0.298	3.33562653780205e-35	4	GMFG
CAP11	8.92544890694736e-39	0.149738424357811	0.322	0.278	2.01982908764219e-34	4	CAP1
UCP22	2.0921830525386e-36	0.251900767480051	0.262	0.207	4.73461024789485e-32	4	UCP2
GDI21	2.32548408777871e-36	0.170811904360447	0.327	0.291	5.26257049064321e-32	4	GDI2
DUSP11	6.83183156961113e-36	0.0115504581487929	0.586	0.56	1.546043484203e-31	4	DUSP1
C4orf32	1.5744162255399e-35	0.0290147913229033	0.374	0.347	3.5629039183968e-31	4	C4orf3
PTPRC1	1.97421466199929e-35	0.141879436397797	0.272	0.205	4.4676477801044e-31	4	PTPRC
RNASET22	5.11987364708415e-35	0.220753895688205	0.342	0.314	1.15862740633514e-30	4	RNASET2
ZFP362	6.38667671785596e-34	0.228610793409258	0.399	0.51	1.4453049412508e-29	4	ZFP36
CORO1A2	7.09258501618758e-33	0.0491587554160546	0.316	0.359	1.60505198916325e-28	4	CORO1A
RAP1A2	4.41798954392551e-32	0.111797994797837	0.268	0.227	9.99791033790343e-28	4	RAP1A
TMEM167A2	1.23203986889558e-27	0.0071462805841177	0.251	0.221	2.78810622331069e-23	4	TMEM167A
ATP6V0E12	7.31243111922615e-24	0.113938000811822	0.465	0.473	1.65480316228088e-19	4	ATP6V0E1
CAPZB1	1.03140367815092e-22	0.115695589260421	0.294	0.264	2.33406652365554e-18	4	CAPZB
SNX31	2.15467453060323e-20	0.133313914278803	0.403	0.389	4.8760284627551e-16	4	SNX3
ARHGDIB1	8.81786288451247e-20	0.173883977978188	0.374	0.419	1.99548237076517e-15	4	ARHGDIB
NR4A22	4.17140732182629e-19	0.415330901462512	0.291	0.249	9.4398947692929e-15	4	NR4A2
NAP1L11	9.7441881990303e-19	0.214089176776989	0.415	0.396	2.20510978944056e-14	4	NAP1L1
MCL11	6.29974348563401e-15	0.0617014326362936	0.409	0.398	1.42563195079898e-10	4	MCL1
SH3BGRL	5.23641543592841e-14	0.109189519486291	0.292	0.267	1.1850008131506e-09	4	SH3BGRL
DNAJA11	1.29792996892679e-13	0.0198944122667627	0.332	0.313	2.93721551968133e-09	4	DNAJA1
LSP12	2.80396464749073e-11	0.265372959941967	0.283	0.335	6.34537199727152e-07	4	LSP1
GPSM32	2.8553782996124e-11	0.108727791042425	0.264	0.227	6.46172109202285e-07	4	GPSM3
ZFP36L1	1.32159027873625e-09	0.146423642609805	0.388	0.376	2.99075880078014e-05	4	ZFP36L1
GABARAPL21	9.73490256491947e-07	0.0356266906301811	0.289	0.284	0.0220300845044128	4	GABARAPL2
ARL6IP52	1.73598781530944e-06	0.0961867886845864	0.283	0.267	0.0392854042604527	4	ARL6IP5
PPA11	0.00165795282828119	0.141508279410477	0.261	0.273	1	4	PPA1
CCNL12	0.00862671502377993	0.0221896856382511	0.292	0.322	1	4	CCNL1
LGALS12	0	16.8927216634365	0.972	0.407	0	5	LGALS1
LUM	0	15.1827073317087	0.512	0.014	0	5	LUM
IGFBP7	0	12.5413966645785	0.86	0.055	0	5	IGFBP7
TAGLN	0	11.8524932500339	0.658	0.02	0	5	TAGLN
CXCL14	0	11.4708934003745	0.441	0.011	0	5	CXCL14
RGS5	0	9.7910314024821	0.518	0.041	0	5	RGS5
CALD1	0	9.32022331630372	0.926	0.026	0	5	CALD1
FTH12	0	9.31002883995253	0.974	0.894	0	5	FTH1
TIMP12	0	8.99904246258887	0.826	0.331	0	5	TIMP1
ACTA2	0	8.98032558969071	0.567	0.023	0	5	ACTA2
COL3A1	0	8.67884920057322	0.715	0.011	0	5	COL3A1
DCN	0	7.62239613476917	0.68	0.008	0	5	DCN
COL1A2	0	7.40037741138141	0.703	0.011	0	5	COL1A2
IFITM31	0	7.10173860956205	0.935	0.176	0	5	IFITM3
MYL9	0	7.04392273257355	0.752	0.036	0	5	MYL9
ADIRF1	0	6.81172862848893	0.686	0.132	0	5	ADIRF
COL1A1	0	6.28640107181791	0.633	0.01	0	5	COL1A1
CCL11	0	5.95755732252331	0.252	0.005	0	5	CCL11
MT-CO31	0	5.8574745255009	0.977	0.964	0	5	MT-CO3
VIM2	0	5.73078902037502	0.876	0.378	0	5	VIM
S100A61	0	5.53566225813066	0.929	0.558	0	5	S100A6
SPARC	0	5.41287738622322	0.735	0.031	0	5	SPARC
MYL62	0	4.79546051341927	0.916	0.684	0	5	MYL6
RARRES2	0	4.71521508142879	0.65	0.025	0	5	RARRES2
TPM2	0	4.65131050977717	0.767	0.034	0	5	TPM2
PTGDS	0	4.39926205846312	0.314	0.009	0	5	PTGDS
DSTN1	0	4.22278307898449	0.808	0.296	0	5	DSTN
POSTN	0	3.95436248393493	0.418	0.006	0	5	POSTN
CD632	0	3.9131155630679	0.891	0.473	0	5	CD63
CALM21	0	3.85756876280496	0.9	0.632	0	5	CALM2
CFD	0	3.48127122821277	0.312	0.021	0	5	CFD
HSPB13	0	3.46070047840938	0.859	0.363	0	5	HSPB1
COL6A2	0	3.38460406206439	0.705	0.012	0	5	COL6A2
S100A42	0	3.35375171574577	0.621	0.332	0	5	S100A4
APOE	0	3.33497494180531	0.354	0.021	0	5	APOE
C1S	0	3.27171039603982	0.645	0.009	0	5	C1S
C1R	0	3.04313720259579	0.654	0.017	0	5	C1R
ITM2B2	0	2.95435681190807	0.873	0.512	0	5	ITM2B
MT2A2	0	2.9114158185795	0.625	0.324	0	5	MT2A
